trip_id,dispatched_at,en_route_at,arrived_at,actual_travel_duration_sec,arrival_source,distance_km,google_eta_sec,google_eta_captured_at,city,locality,sector,service_area,service_category,hour,day_of_week,is_weekend,weather_condition,temperature_c,rain_mm,visibility_km,traffic_level,provider_availability_count,demand_level,surge_multiplier,estimated_wait_before_dispatch_sec,quality_score,validation_status,validation_flags,is_synthetic,is_training_eligible
SYN-ETA-000001,2024-01-22T18:40:06,2024-01-22T18:40:50.400000,2024-01-22T18:50:36.400000,586.0,gps_geofence,2.67,480.0,2024-01-22T18:40:06,Delhi,New Friends Colony,Sector 75,Delhi-New Friends Colony,Appliance Repair,18,0,0,clear,12.5,0.0,10.0,HIGH,12,HIGH,1.2,44.4,0.66,PASS,none,True,False
SYN-ETA-000002,2024-01-19T07:02:30,2024-01-19T07:02:37.400000,2024-01-19T07:08:48.400000,371.0,job_start,2.11,303.0,2024-01-19T07:02:30,Delhi,Greater Kailash,Sector 93,Delhi-Greater Kailash,Cleaning,7,4,0,dust,17.9,0.0,2.5,MODERATE,6,LOW,1.0,7.4,0.644,PASS,none,True,False
SYN-ETA-000003,2024-05-20T18:12:38,2024-05-20T18:13:08.900000,2024-05-20T18:18:27.400000,318.5,gps_geofence,2.49,280.6,2024-05-20T18:12:38,Noida,Sector 93A,Sector 75,Noida-Sector 93A,Deep Cleaning,18,0,0,partly_cloudy,40.4,0.0,8.0,MODERATE,1,VERY_HIGH,1.5,30.9,0.939,PASS,none,True,False
SYN-ETA-000004,2024-03-07T09:03:16,2024-03-07T09:03:17.100000,2024-03-07T09:14:14.900000,657.8,gps_geofence,5.16,621.6,2024-03-07T09:03:16,Delhi,Jor Bagh,Sector 44,Delhi-Jor Bagh,General Handyman,9,3,0,partly_cloudy,43.2,0.0,8.0,MODERATE,6,NORMAL,1.0,1.1,0.808,PASS,none,True,False
SYN-ETA-000005,2024-01-02T14:33:30,2024-01-02T14:34:14.400000,2024-01-02T14:48:50.900000,876.5,gps_geofence,3.35,610.3,2024-01-02T14:33:30,Noida,Sector 52,Sector 45,Noida-Sector 52,Plumbing,14,1,0,clear,11.3,0.0,10.0,HIGH,4,HIGH,1.2,44.4,0.897,PASS,none,True,False
SYN-ETA-000006,2024-04-24T18:44:31,2024-04-24T18:44:32.200000,2024-04-24T19:02:34.600000,1082.4,job_start,4.22,770.4,2024-04-24T18:44:31,Gurugram,Sector 44,Sector 75,Gurugram-Sector 44,Appliance Repair,18,2,0,partly_cloudy,33.8,0.0,8.0,HIGH,7,HIGH,1.2,1.2,0.894,PASS,none,True,False
SYN-ETA-000007,2024-01-09T08:20:17,2024-01-09T08:20:20.700000,2024-01-09T08:41:42.900000,1282.2,job_start,5.21,1026.1,2024-01-09T08:20:17,Delhi,Defence Colony,Sector 62,Delhi-Defence Colony,Electrical,8,1,0,partly_cloudy,5.0,0.0,8.0,HIGH,8,HIGH,1.2,3.7,0.837,PASS,none,True,False
SYN-ETA-000008,2024-05-07T18:10:24,2024-05-07T18:11:13.100000,2024-05-07T18:29:51.400000,1118.3,job_start,4.59,879.0,2024-05-07T18:10:24,Gurugram,DLF Park Place,Sector 52,Gurugram-DLF Park Place,Pest Control,18,1,0,cloudy,33.4,0.0,8.0,HIGH,7,HIGH,1.2,49.1,0.78,PASS,none,True,False
SYN-ETA-000009,2024-03-06T17:44:38,2024-03-06T17:44:42.900000,2024-03-06T18:04:36.200000,1193.3,job_start,5.1,905.6,2024-03-06T17:44:38,Gurugram,Sector 45,Sector 43,Gurugram-Sector 45,General Handyman,17,2,0,partly_cloudy,40.2,0.0,8.0,HIGH,8,NORMAL,1.0,4.9,0.753,PASS,none,True,False
SYN-ETA-000010,2024-02-05T10:16:00,2024-02-05T10:16:13,2024-02-05T10:24:53.500000,520.5,gps_geofence,2.0,356.1,2024-02-05T10:16:00,Noida,Sector 50,Sector 55,Noida-Sector 50,Appliance Repair,10,0,0,partly_cloudy,13.2,0.0,8.0,HIGH,5,HIGH,1.2,13.0,0.766,PASS,none,True,False
